id,text,incident_types,severity,type_labels,severity_label,lang
3337,"baha sa kalsada dito sa Barangay Centro, konting galos lang!",['Natural Disaster'],Green,[4],0,fil
3338,"Tulong! motor crash, deceased.",['Accident'],Black,[2],3,fil
3339,"maraming tao sa isang lugar at kombulsyon nangyari, wala nang pulso. Padala agad.","['Other', 'Medical']",Black,"[5, 3]",3,fil
3340,"Tulong! may gutom na tao, deceased.",['Other'],Black,[5],3,fil
3341,"stroke dito sa sakayan, posibleng bali!",['Medical'],Yellow,[3],1,fil
3342,"Boss may taong nakadating na basta-basta at sugatan, patay na.","['Other', 'Medical']",Black,"[5, 3]",3,fil
3343,"Nag-report ng nahimatay, safe naman.",['Medical'],Green,[3],0,fil
3344,jeep tumama sa poste sa kanto. malakas na dugo.,['Accident'],Red,[2],2,fil
3345,aso na-trap sa palengke. deceased.,['Other'],Black,[5],3,fil
3346,"bodega nasusunog at kidnapping dito sa elementary school, walang sugat!","['Fire', 'Crime']",Green,"[0, 1]",0,fil
3347,"banggaan sa highway dito sa market, patay na!",['Accident'],Black,[2],3,fil
3348,"Tulong! taong nakadating na basta-basta at hindi humihinga, buhay ang nakataya. po","['Other', 'Medical']",Red,"[5, 3]",2,fil
3349,"biglaang may usok sa kusina at baha sa kalsada, ok lang!","['Fire', 'Natural Disaster']",Green,"[0, 4]",0,fil
3350,nagwawala ang tao sa Poblacion. malakas na dugo.,['Other'],Red,[5],2,fil
3351,"May may usok sa kusina, kailangan ng tulong pero stable.",['Fire'],Yellow,[0],1,fil
3352,"may nagnakaw at diabetic emergency dito sa San Jose, buhay ang nakataya! pls","['Crime', 'Medical']",Red,"[1, 3]",2,fil
3353,Grabe nasusunog yung store! kailangan ng tulong pero stable. Bilisan!,['Fire'],Yellow,[0],1,fil
3354,"Boss may storm surge, kailangan tignan.",['Natural Disaster'],Yellow,[4],1,fil
3355,"chest pain and missing person, urgent.","['Medical', 'Other']",Red,"[3, 5]",2,en
3356,"Emergency: trapped animal and car fire, no signs of life.","['Other', 'Fire']",Black,"[5, 0]",3,en
3357,"Emergency! lupa gumuho, agarang emergency.",['Natural Disaster'],Red,[4],2,fil
3358,"Nag-report ng gulo sa bar, deceased. po",['Crime'],Black,[1],3,fil
3359,"Boss may nahihirapang huminga at may usok sa kusina, wala nang pulso.","['Medical', 'Fire']",Black,"[3, 0]",3,fil
3360,"Biglaang ulan di tumitigil, walang sugat!",['Natural Disaster'],Green,[4],0,fil
3361,"Boss may pananakit sa kalsada at lupa gumuho, walang sugat.","['Crime', 'Natural Disaster']",Green,"[1, 4]",0,fil
3362,bodega nasusunog sa palengke. ok lang.,['Fire'],Green,[0],0,fil
3363,Grabe stroke at tagas ng tubig! walang buhay. Bilisan!,"['Medical', 'Other']",Black,"[3, 5]",3,fil
3364,"Emergency! landslide sa bundok, walang buhay.",['Natural Disaster'],Black,[4],3,fil
3365,"motor crash at bagyo wasak ang bubong dito sa palengke, kailangan ng tulong pero stable!","['Accident', 'Natural Disaster']",Yellow,"[2, 4]",1,fil
3366,"EMERGENCY! GASOLINE SUNOG, WALA NANG PULSO.",['Fire'],Black,[0],3,fil
3367,"Urgent - hostage, life-threatening!",['Crime'],Red,[1],2,en
3368,"May heart attack, wala nang pulso.",['Medical'],Black,[3],3,fil
3369,"Boss may diabetic emergency, safe naman.",['Medical'],Green,[3],0,fil
3370,"biglaang basag na rehistro, agarang emergency!",['Other'],Red,[5],2,fil
3371,"Emergency! may nag-aapoy na kotse, deceased.",['Fire'],Black,[0],3,fil
3372,"building burning and earthquake at Bagong Silang, not breathing.","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,en
3373,"typhoon damage at market, life-threatening.",['Natural Disaster'],Red,[4],2,en
3374,"Nag-report ng nadulas, deceased.",['Accident'],Black,[2],3,fil
3375,hindi humihinga at bagyo wasak ang bubong sa Bagong Silang. buhay ang nakataya.,"['Medical', 'Natural Disaster']",Red,"[3, 4]",2,fil
3376,"May baha sa kalsada at jeep tumama sa poste, wala nang pulso.","['Natural Disaster', 'Accident']",Black,"[4, 2]",3,fil
3377,"Emergency! lindol at jeep tumama sa poste, patay na.","['Natural Disaster', 'Accident']",Black,"[4, 2]",3,fil
3378,"HOSTAGE SITUATION NANGYARI, PUWEDENG DELAYED. PADALA AGAD.",['Crime'],Yellow,[1],1,fil
3379,"jeep tumama sa poste nangyari, patay na. Padala agad.",['Accident'],Black,[2],3,fil
3380,"Tulong! truck nasagasaan ang tao at hindi alam kung saan, kailangan agad.","['Accident', 'Other']",Red,"[2, 5]",2,fil
3381,"Tulong! buntis manganak, safe naman.",['Medical'],Green,[3],0,fil
3382,"Emergency! malakas na ulan at nahulog sa kanal, buhay ang nakataya.","['Natural Disaster', 'Accident']",Red,"[4, 2]",2,fil
3383,"Nag-report ng buntis manganak, kailangan ng tulong pero stable.",['Medical'],Yellow,[3],1,fil
3384,"Urgent - collapsed infrastructure and collapsed person, can wait!","['Other', 'Medical']",Yellow,"[5, 3]",1,en
3385,"Emergency! kidnapping, puwedeng delayed.",['Crime'],Yellow,[1],1,fil
3386,"Boss may baha sa kalsada, kaya pang maghintay.",['Natural Disaster'],Green,[4],0,fil
3387,"tumatakbo ang apoy dito sa market, ok lang!",['Fire'],Green,[0],0,fil
3388,"Nag-report ng jeep tumama sa poste, minor lang. po",['Accident'],Green,[2],0,fil
3389,"Emergency! flash flood, hindi na umaandar.",['Natural Disaster'],Black,[4],3,fil
3390,"Emergency! nadulas, safe naman.",['Accident'],Green,[2],0,fil
3391,"earthquake and car crash at sakayan, urgent.","['Natural Disaster', 'Accident']",Red,"[4, 2]",2,en
3392,"manhole open at Poblacion, safe to wait.",['Other'],Green,[5],0,en
3393,Grabe overdose at nasusunog na building! kailangan tignan. Bilisan!,"['Medical', 'Fire']",Yellow,"[3, 0]",1,fil
3394,"Emergency! gasoline sunog, minor lang.",['Fire'],Green,[0],0,fil
3395,"Emergency! basag na rehistro, kailangan agad.",['Other'],Red,[5],2,fil
3396,"Boss may allergic reaction, malakas na dugo.",['Medical'],Red,[3],2,fil
3397,"Nag-report ng flash flood, puwedeng delayed.",['Natural Disaster'],Yellow,[4],1,fil
3398,"Emergency: building burning, deceased.",['Fire'],Black,[0],3,en
3399,"may flash flood, kaya pang maghintay.",['Natural Disaster'],Green,[4],0,fil
3400,sira ang tubig sa San Jose. patay na.,['Other'],Black,[5],3,fil
3401,"Nag-report ng baha sa kalsada, posibleng bali.",['Natural Disaster'],Yellow,[4],1,fil
3402,"Boss may puno tumama sa bahay at sunog sa bahay, patay na.","['Natural Disaster', 'Fire']",Black,"[4, 0]",3,fil
3403,"Boss may diabetic emergency, agarang emergency.",['Medical'],Red,[3],2,fil
3404,"Boss may nasusunog na building at kombulsyon, medyo masakit.","['Fire', 'Medical']",Yellow,"[0, 3]",1,fil
3405,Grabe diabetic emergency at may usok sa kusina! wala nang pulso. Bilisan!,"['Medical', 'Fire']",Black,"[3, 0]",3,fil
3406,"May allergic reaction, critical na.",['Medical'],Red,[3],2,fil
3407,"Emergency: collapsed person, possible fracture.",['Medical'],Yellow,[3],1,en
3408,"Tulong! bodega nasusunog, ok lang.",['Fire'],Green,[0],0,fil
3409,"MAY BAYONG ANGHANG NANGYARI, WALA NANG PULSO. PADALA AGAD.",['Other'],Black,[5],3,fil
3410,"landslide, not breathing.",['Natural Disaster'],Red,[4],2,en
3411,"Boss may maraming tao sa isang lugar at sunog sa bahay, patay na.","['Other', 'Fire']",Black,"[5, 0]",3,fil
3412,"Biglaang bangga ng kotse, kailangan agad!",['Accident'],Red,[2],2,fil
3413,"Tulong! brownout, kailangan tignan.",['Other'],Yellow,[5],1,fil
3414,"Tulong! pananakit sa kalsada, hindi makahinga.",['Crime'],Red,[1],2,fil
3415,"Biglaang nakawan sa bahay, safe naman!",['Crime'],Green,[1],0,fil
3416,Grabe tubig baha sa loob! puwedeng delayed. Bilisan!,['Natural Disaster'],Yellow,[4],1,fil
3417,"stroke, deceased.",['Medical'],Black,[3],3,en
3418,"tumatakbo ang apoy nangyari, critical na. Padala agad.",['Fire'],Red,[0],2,fil
3419,"Boss may nagliliyab na bahay at truck nasagasaan ang tao, ok lang. pls","['Fire', 'Accident']",Green,"[0, 2]",0,fil
3420,"Emergency: lost child, can wait.",['Other'],Yellow,[5],1,en
3421,"Urgent - motorcycle collision and electrical fire, urgent!","['Accident', 'Fire']",Red,"[2, 0]",2,en
3422,"Emergency! lupa gumuho, walang buhay.",['Natural Disaster'],Black,[4],3,fil
3423,nasusunog na building sa highway. kailangan tignan.,['Fire'],Yellow,[0],1,fil
3424,"not breathing at market, no signs of life.",['Medical'],Black,[3],3,en
3425,"Tulong! naaksidente sa construction, walang buhay.",['Accident'],Black,[2],3,fil
3426,hindi humihinga sa bagong silang. deceased.,['Medical'],Black,[3],3,fil
3427,"Emergency! diabetic emergency, walang buhay.",['Medical'],Black,[3],3,fil
3428,"Biglaang hit and run at may ligtas na tao, kailangan agad!","['Accident', 'Other']",Red,"[2, 5]",2,fil
3429,"Urgent - collapsed infrastructure, deceased!",['Other'],Black,[5],3,en
3430,"flooding and motorcycle collision at plaza, can wait.","['Natural Disaster', 'Accident']",Yellow,"[4, 2]",1,en
3431,"Tulong! nahulog sa kanal, walang buhay.",['Accident'],Black,[2],3,fil
3432,"nahimatay dito sa San Jose, posibleng bali!",['Medical'],Yellow,[3],1,fil
3433,"Biglaang kombulsyon at nasusunog na building, posibleng bali!","['Medical', 'Fire']",Yellow,"[3, 0]",1,fil
3434,"hit and run and general alarm, can wait.","['Accident', 'Other']",Yellow,"[2, 5]",1,en
3435,"Boss may lupa gumuho at nasusunog na building, critical na.","['Natural Disaster', 'Fire']",Red,"[4, 0]",2,fil
3436,"Boss may hangin nilipat ang yero, malakas na dugo.",['Natural Disaster'],Red,[4],2,fil
3437,"kidnapping dito sa kanto, konting galos lang!",['Crime'],Green,[1],0,fil
3438,"Emergency! nagkagulo ang mga tao at nasagasaan, kailangan ng tulong pero stable.","['Other', 'Accident']",Yellow,"[5, 2]",1,fil
3439,"seizure, needs treatment soon.",['Medical'],Yellow,[3],1,en
3440,"Tulong! sunog sa factory, posibleng bali.",['Fire'],Yellow,[0],1,fil
3441,Grabe ulan di tumitigil at stroke! safe naman. Bilisan!,"['Natural Disaster', 'Medical']",Green,"[4, 3]",0,fil
3442,"TULONG! JEEP TUMAMA SA POSTE AT NAHIHIRAPANG HUMINGA, KAILANGAN TIGNAN.","['Accident', 'Medical']",Yellow,"[2, 3]",1,fil
3443,"May bagyo wasak ang bubong at hit and run, puwedeng delayed.","['Natural Disaster', 'Accident']",Yellow,"[4, 2]",1,fil
3444,"Biglaang nahulog sa kanal, patay na.",['Accident'],Black,[2],3,fil
3445,"MAY NADULAS, DECEASED.",['Accident'],Black,[2],3,fil
3446,"stabbing at San Jose, no signs of life. pls",['Crime'],Black,[1],3,en
3447,"Emergency: strange object and burglary, urgent.","['Other', 'Crime']",Red,"[5, 1]",2,en
3448,"kitchen smoke at highway, life-threatening.",['Fire'],Red,[0],2,en
3449,"Nag-report ng nagwawala ang tao, buhay ang nakataya.",['Other'],Red,[5],2,fil
3450,"Nag-report ng nadaganan ng gamit at tagas ng tubig, agarang emergency.","['Accident', 'Other']",Red,"[2, 5]",2,fil
3451,"Emergency! may batang umiiyak, walang buhay. pls",['Other'],Black,[5],3,fil
3452,Grabe overdose at suka ng agua! wala nang pulso. Bilisan!,"['Medical', 'Other']",Black,"[3, 5]",3,fil
3453,"May nakita ang bangkay, hindi na umaandar.",['Other'],Black,[5],3,fil
3454,"Urgent - hostage, minor only! po",['Crime'],Green,[1],0,en
3455,"Nag-report ng nasusunog yung store, kaya pang maghintay.",['Fire'],Green,[0],0,fil
3456,"Nag-report ng nakita ang bangkay, wala nang pulso.",['Other'],Black,[5],3,fil
3457,nagliliyab na bahay sa sakayan. posibleng bali.,['Fire'],Yellow,[0],1,fil
3458,"Urgent - debris blocking road, no pulse!",['Other'],Black,[5],3,en
3459,"Boss may tumatakbo ang apoy, patay na.",['Fire'],Black,[0],3,fil
3460,"Emergency! buntis manganak at nagkagulo ang mga tao, agarang emergency.","['Medical', 'Other']",Red,"[3, 5]",2,fil
3461,kidnapping at sirang bahay sa tabi ng simbahan. medyo masakit.,"['Crime', 'Other']",Yellow,"[1, 5]",1,fil
3462,"robbery at kanto, safe to wait.",['Crime'],Green,[1],0,en
3463,"Emergency! landslide sa bundok at tagas ng tubig, hindi na umaandar.","['Natural Disaster', 'Other']",Black,"[4, 5]",3,fil
3464,"Urgent - bleeding, deceased!",['Medical'],Black,[3],3,en
3465,hit and run at sunog sa factory sa San Jose. ok lang.,"['Accident', 'Fire']",Green,"[2, 0]",0,fil
3466,baha sa kalsada at may taong inuuusapan nang walang tigil sa Bagong Silang. kailangan ng tulong pero stable.,"['Natural Disaster', 'Other']",Yellow,"[4, 5]",1,fil
3467,"Emergency! kuryente sunog, kaya pang maghintay.",['Fire'],Green,[0],0,fil
3468,"May overdose, kaya pang maghintay.",['Medical'],Green,[3],0,fil
3469,"Emergency: bleeding and truck accident, deceased.","['Medical', 'Accident']",Black,"[3, 2]",3,en
3470,"nakawan sa bahay dito sa market, minor lang!",['Crime'],Green,[1],0,fil
3471,"Nag-report ng may sekswal na guro, patay na.",['Other'],Black,[5],3,fil
3472,"reported confusion at plaza, possible fracture.",['Other'],Yellow,[5],1,en
3473,"bodega nasusunog dito sa palengke, puwedeng delayed!",['Fire'],Yellow,[0],1,fil
3474,"shooting incident and vehicle accident at Poblacion, safe to wait.","['Crime', 'Accident']",Green,"[1, 2]",0,en
3475,"Urgent - storm, severe bleeding!",['Natural Disaster'],Red,[4],2,en
3476,"Emergency: structure fire, deceased.",['Fire'],Black,[0],3,en
3477,"Boss may nahulog sa kanal at puno tumama sa bahay, ok lang.","['Accident', 'Natural Disaster']",Green,"[2, 4]",0,fil
3478,"Tulong! hindi alam kung saan at nag-aaway ng malakas, hindi makahinga.","['Other', 'Crime']",Red,"[5, 1]",2,fil
3479,Grabe truck nasagasaan ang tao at kuryente sunog. hindi na umaandar. Bilisan.,"['Accident', 'Fire']",Black,"[2, 0]",3,fil
3480,"Emergency! mayroon na bukas na iwanan at nahulog sa kanal, deceased.","['Other', 'Accident']",Black,"[5, 2]",3,fil
3481,"Boss may gasoline sunog, hindi na umaandar.",['Fire'],Black,[0],3,fil
3482,"hit and run at buntis manganak nangyari, kailangan ng tulong pero stable. Padala agad.","['Accident', 'Medical']",Yellow,"[2, 3]",1,fil
3483,"motorcycle collision, not breathing.",['Accident'],Red,[2],2,en
3484,"landslide sa bundok at motor crash nangyari, agarang emergency. Padala agad.","['Natural Disaster', 'Accident']",Red,"[4, 2]",2,fil
3485,hindi humihinga sa plaza. minor lang.,['Medical'],Green,[3],0,fil
3486,"Tulong! nawawalang alahas, minor lang.",['Other'],Green,[5],0,fil
3487,"Urgent - motorcycle collision, deceased!",['Accident'],Black,[2],3,en
3488,"may sekswal na guro nangyari, kaya pang maghintay. Padala agad.",['Other'],Green,[5],0,fil
3489,"pananakit sa kalsada nangyari, critical na. Padala agad.",['Crime'],Red,[1],2,fil
3490,BAHA SA KALSADA SA BAGONG SILANG. MINOR LANG.,['Natural Disaster'],Green,[4],0,fil
3491,pananakit sa kalsada sa market. patay na.,['Crime'],Black,[1],3,fil
3492,"Boss may duguan, patay na.",['Medical'],Black,[3],3,fil
3493,"maraming tao sa isang lugar dito sa San Jose, posibleng bali! po",['Other'],Yellow,[5],1,fil
3494,"holdap sa tindahan nangyari, kaya pang maghintay. Padala agad. po",['Crime'],Green,[1],0,fil
3495,"Emergency! malakas na ulan, posibleng bali.",['Natural Disaster'],Yellow,[4],1,fil
3496,"burglary and someone acting erratic, can wait.","['Crime', 'Other']",Yellow,"[1, 5]",1,en
3497,"May hindi humihinga, ok lang.",['Medical'],Green,[3],0,fil
3498,"nahihirapang huminga dito sa market, kailangan tignan!",['Medical'],Yellow,[3],1,fil
3499,"burglary at Barangay Centro, no injuries.",['Crime'],Green,[1],0,en
3500,"riot nangyari, kaya pang maghintay. Padala agad.",['Other'],Green,[5],0,fil
3501,"may taong inuuusapan nang walang tigil nangyari, hindi na umaandar. Padala agad.",['Other'],Black,[5],3,fil
3502,kombulsyon sa market. walang buhay.,['Medical'],Black,[3],3,fil
3503,"Nag-report ng may nag-aapoy na kotse, walang buhay.",['Fire'],Black,[0],3,fil
3504,"Biglaang ulan di tumitigil, agarang emergency!",['Natural Disaster'],Red,[4],2,fil
3505,"Boss may tubig baha sa loob, buhay ang nakataya.",['Natural Disaster'],Red,[4],2,fil
3506,Grabe holdap sa tindahan at nagliliyab na bahay! critical na. Bilisan!,"['Crime', 'Fire']",Red,"[1, 0]",2,fil
3507,Grabe motor crash! medyo masakit. Bilisan!,['Accident'],Yellow,[2],1,fil
3508,heart attack sa Poblacion. kailangan ng tulong pero stable.,['Medical'],Yellow,[3],1,fil
3509,Grabe gulo sa bar! puwedeng delayed. Bilisan!,['Crime'],Yellow,[1],1,fil
3510,"Emergency: earthquake and fence collapse, severe bleeding.","['Natural Disaster', 'Other']",Red,"[4, 5]",2,en
3511,Grabe motor crash at chemical fire! konting galos lang. Bilisan! po,"['Accident', 'Fire']",Green,"[2, 0]",0,fil
3512,"May ulan di tumitigil, agarang emergency.",['Natural Disaster'],Red,[4],2,fil
3513,Grabe may gutom na tao! hindi na umaandar. Bilisan!,['Other'],Black,[5],3,fil
3514,"Emergency! flash flood at may taong inuuusapan nang walang tigil, kailangan tignan.","['Natural Disaster', 'Other']",Yellow,"[4, 5]",1,fil
3515,"May gulo sa bar at nagliliyab na bahay, walang sugat.","['Crime', 'Fire']",Green,"[1, 0]",0,fil
3516,"May nagliliyab na bahay at landslide sa bundok, critical na.","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,fil
3517,"hit and run dito sa sakayan, hindi makahinga!",['Accident'],Red,[2],2,fil
3518,"Nag-report ng pananakit sa kalsada at suka ng agua, malakas na dugo.","['Crime', 'Other']",Red,"[1, 5]",2,fil
3519,"Tulong! nahimatay at ahas sa bahay, safe naman.","['Medical', 'Other']",Green,"[3, 5]",0,fil
3520,"Nag-report ng allergic reaction, kaya pang maghintay.",['Medical'],Green,[3],0,fil
3521,"binaril ang tao dito sa sakayan, kailangan ng tulong pero stable!",['Crime'],Yellow,[1],1,fil
3522,"Emergency! buntis manganak, buhay ang nakataya.",['Medical'],Red,[3],2,fil
3523,Grabe sunog sa bahay! safe naman. Bilisan!,['Fire'],Green,[0],0,fil
3524,"tubig baha sa loob nangyari, patay na. padala agad.",['Natural Disaster'],Black,[4],3,fil
3525,"not breathing, urgent.",['Medical'],Red,[3],2,en
3526,"Tulong! hit and run at lupa gumuho, ok lang.","['Accident', 'Natural Disaster']",Green,"[2, 4]",0,fil
3527,"Emergency! pananakit sa kalsada, kailangan agad.",['Crime'],Red,[1],2,fil
3528,"Emergency! bugbugan at flash flood, kaya pang maghintay.","['Crime', 'Natural Disaster']",Green,"[1, 4]",0,fil
3529,"malakas na ulan dito sa tabi ng simbahan, patay na!",['Natural Disaster'],Black,[4],3,fil
3530,"Boss may nagliliyab na bahay at gas leak, walang buhay.","['Fire', 'Other']",Black,"[0, 5]",3,fil
3531,may gutom na tao sa plaza. walang buhay.,['Other'],Black,[5],3,fil
3532,"Emergency. baha sa kalsada at kuryente sunog, wala nang pulso.","['Natural Disaster', 'Fire']",Black,"[4, 0]",3,fil
3533,"Boss may walang kuryente, critical na.",['Other'],Red,[5],2,fil
3534,"nahihirapang huminga dito sa highway, kailangan ng tulong pero stable.",['Medical'],Yellow,[3],1,fil
3535,"Urgent - typhoon damage and seizure, no pulse!","['Natural Disaster', 'Medical']",Black,"[4, 3]",3,en
3536,"Nag-report ng bangga ng kotse at buntis manganak, buhay ang nakataya. pls","['Accident', 'Medical']",Red,"[2, 3]",2,fil
3537,"tulong! kombulsyon at chemical fire, puwedeng delayed.","['Medical', 'Fire']",Yellow,"[3, 0]",1,fil
3538,"banggaan sa highway nangyari, agarang emergency. Padala agad.",['Accident'],Red,[2],2,fil
3539,"Urgent - motorcycle collision, severe bleeding!",['Accident'],Red,[2],2,en
3540,"Urgent - typhoon damage, severe bleeding.",['Natural Disaster'],Red,[4],2,en
3541,"May sugatan at banggaan sa highway, critical na. pls","['Medical', 'Accident']",Red,"[3, 2]",2,fil
3542,"Emergency! gubat na mapapasok, konting galos lang.",['Other'],Green,[5],0,fil
3543,"MAYROON NA BUKAS NA IWANAN DITO SA POBLACION, BUHAY ANG NAKATAYA!",['Other'],Red,[5],2,fil
3544,"Tulong! baha sa kalsada, malakas na dugo.",['Natural Disaster'],Red,[4],2,fil
3545,"Biglaang hostage situation, wala nang pulso!",['Crime'],Black,[1],3,fil
3546,"Biglaang binaril ang tao, buhay ang nakataya!",['Crime'],Red,[1],2,fil
3547,"Emergency! suspek na pakete, safe naman.",['Other'],Green,[5],0,fil
3548,"NAG-REPORT NG SIRANG BAHAY, KAILANGAN AGAD.",['Other'],Red,[5],2,fil
3549,"May duguan, walang buhay.",['Medical'],Black,[3],3,fil
3550,"emergency! overdose, walang buhay.",['Medical'],Black,[3],3,fil
3551,"Tulong! jeep tumama sa poste, hindi na umaandar.",['Accident'],Black,[2],3,fil
3552,"Tulong! may kutsilyo, deceased.",['Crime'],Black,[1],3,fil
3553,Grabe overdose! ok lang. Bilisan!,['Medical'],Green,[3],0,fil
3554,"Tulong! nadulas, puwedeng delayed.",['Accident'],Yellow,[2],1,fil
3555,Grabe hostage situation! agarang emergency. Bilisan!,['Crime'],Red,[1],2,fil
3556,Grabe tumatakbo ang apoy! konting galos lang. Bilisan!,['Fire'],Green,[0],0,fil
3557,"May nahulog sa kanal, patay na.",['Accident'],Black,[2],3,fil
3558,"welfare check needed and truck accident at sakayan, urgent.","['Other', 'Accident']",Red,"[5, 2]",2,en
3559,"storm at Bagong Silang, minor only.",['Natural Disaster'],Green,[4],0,en
3560,Grabe truck nasagasaan ang tao! buhay ang nakataya. Bilisan!,['Accident'],Red,[2],2,fil
3561,"TULONG! BAHA SA KALSADA, KAILANGAN TIGNAN.",['Natural Disaster'],Yellow,[4],1,fil
3562,"Biglaang nagwawala ang tao, ok lang!",['Other'],Green,[5],0,fil
3563,Grabe gas leak! ok lang. Bilisan!,['Other'],Green,[5],0,fil
3564,"Urgent - road collision, needs treatment soon!",['Accident'],Yellow,[2],1,en
3565,"chest pain at kanto, safe to wait.",['Medical'],Green,[3],0,en
3566,"Nag-report ng kombulsyon, hindi makahinga.",['Medical'],Red,[3],2,fil
3567,grabe holdap sa tindahan! hindi makahinga. bilisan!,['Crime'],Red,[1],2,fil
3568,"Tulong! bangga ng kotse, walang buhay.",['Accident'],Black,[2],3,fil
3569,"nadaganan ng gamit dito sa palengke, deceased.",['Accident'],Black,[2],3,fil
3570,"Boss may rollover, buhay ang nakataya.",['Accident'],Red,[2],2,fil
3571,"may flash flood, posibleng bali.",['Natural Disaster'],Yellow,[4],1,fil
3572,"bangga ng kotse dito sa market, kaya pang maghintay!",['Accident'],Green,[2],0,fil
3573,tumatakbo ang apoy at nag-aaway ng malakas sa kanto. patay na.,"['Fire', 'Crime']",Black,"[0, 1]",3,fil
3574,"may nagnakaw dito sa kanto, critical na!",['Crime'],Red,[1],2,fil
3575,"Urgent - debris blocking road, no signs of life!",['Other'],Black,[5],3,en
3576,"Tulong! diabetic emergency, puwedeng delayed.",['Medical'],Yellow,[3],1,fil
3577,"Boss may nahihirapang huminga, hindi na umaandar. po",['Medical'],Black,[3],3,fil
3578,"Emergency: water main break, urgent.",['Other'],Red,[5],2,en
3579,"nasusunog yung store at overdose nangyari, walang buhay. Padala agad.","['Fire', 'Medical']",Black,"[0, 3]",3,fil
3580,"May bodega nasusunog, hindi na umaandar.",['Fire'],Black,[0],3,fil
3581,"Emergency! sira ang tulay, konting galos lang.",['Other'],Green,[5],0,fil
3582,"Emergency! malakas na ulan, kailangan tignan.",['Natural Disaster'],Yellow,[4],1,fil
3583,"allergic reaction dito sa tabi ng simbahan, deceased! po",['Medical'],Black,[3],3,fil
3584,Grabe may kakaibang kadahilan! safe naman. Bilisan! po,['Other'],Green,[5],0,fil
3585,"Nag-report ng baha sa kalsada at overdose, deceased.","['Natural Disaster', 'Medical']",Black,"[4, 3]",3,fil
3586,"broken window and assault on street at palengke, possible fracture.","['Other', 'Crime']",Yellow,"[5, 1]",1,en
3587,"diabetic emergency nangyari, ok lang. Padala agad.",['Medical'],Green,[3],0,fil
3588,grabe puno tumama sa bahay! deceased. bilisan!,['Natural Disaster'],Black,[4],3,fil
3589,"Biglaang may nag-aapoy na kotse at gulo sa bar, patay na! pls","['Fire', 'Crime']",Black,"[0, 1]",3,fil
3590,"Emergency! kombulsyon, walang sugat.",['Medical'],Green,[3],0,fil
3591,"May basag na rehistro, posibleng bali.",['Other'],Yellow,[5],1,fil
3592,"May sugatan, deceased.",['Medical'],Black,[3],3,fil
3593,"sunog sa factory at landslide sa bundok dito sa highway, buhay ang nakataya!","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,fil
3594,"Emergency: hit and run and burglary, possible fracture.","['Accident', 'Crime']",Yellow,"[2, 1]",1,en
3595,"sugatan at gulo sa bar nangyari, agarang emergency. Padala agad.","['Medical', 'Crime']",Red,"[3, 1]",2,fil
3596,"Boss may may usok sa kusina, wala nang pulso.",['Fire'],Black,[0],3,fil
3597,"Biglaang rollover, konting galos lang!",['Accident'],Green,[2],0,fil
3598,"nag-aaway ng malakas nangyari, ok lang. Padala agad.",['Crime'],Green,[1],0,fil
3599,"Tulong! hostage situation, kailangan tignan.",['Crime'],Yellow,[1],1,fil
3600,"May banggaan sa highway, minor lang.",['Accident'],Green,[2],0,fil
3601,Grabe rollover! kailangan ng tulong pero stable. Bilisan!,['Accident'],Yellow,[2],1,fil
3602,"aso na-trap nangyari, kaya pang maghintay. Padala agad.",['Other'],Green,[5],0,fil
3603,"Biglaang holdap sa tindahan, critical na!",['Crime'],Red,[1],2,fil
3604,Grabe banggaan sa highway! wala nang pulso. Bilisan!,['Accident'],Black,[2],3,fil
3605,Grabe rollover at kuryente sunog! konting galos lang. Bilisan!,"['Accident', 'Fire']",Green,"[2, 0]",0,fil
3606,"kombulsyon at hit and run dito sa San Jose, wala nang pulso!","['Medical', 'Accident']",Black,"[3, 2]",3,fil
3607,nahihirapang huminga at hangin nilipat ang yero sa kanto. walang buhay.,"['Medical', 'Natural Disaster']",Black,"[3, 4]",3,fil
3608,"Biglaang allergic reaction, medyo masakit! pls",['Medical'],Yellow,[3],1,fil
3609,"Urgent - lost person, no pulse!",['Other'],Black,[5],3,en
3610,"heavy rain and car fire, safe to wait.","['Natural Disaster', 'Fire']",Green,"[4, 0]",0,en
3611,"Nag-report ng tubig baha sa loob at nadaganan ng gamit, medyo masakit.","['Natural Disaster', 'Accident']",Yellow,"[4, 2]",1,fil
3612,"Emergency! hindi humihinga, puwedeng delayed.",['Medical'],Yellow,[3],1,fil
3613,"Emergency: building burning, severe bleeding.",['Fire'],Red,[0],2,en
3614,"emergency: seizure and earthquake, minor only.","['Medical', 'Natural Disaster']",Green,"[3, 4]",0,en
3615,"holdap sa tindahan at nasusunog yung store dito sa barangay centro, hindi na umaandar!","['Crime', 'Fire']",Black,"[1, 0]",3,fil
3616,"Tulong. pananakit sa kalsada, hindi na umaandar.",['Crime'],Black,[1],3,fil
3617,"Boss may brownout, konting galos lang.",['Other'],Green,[5],0,fil
3618,"May may nag-aapoy na kotse, hindi na umaandar.",['Fire'],Black,[0],3,fil
3619,"Biglaang nadaganan ng gamit, kailangan ng tulong pero stable!",['Accident'],Yellow,[2],1,fil
